,SNR,MMSE,MMSE_ste
0,8.0,0.034091298796953114,0.003121429164443392
1,8.25,0.02829224679010156,0.0027095886916442056
2,8.5,0.02322690323269532,0.0023663208384369985
3,8.75,0.019530368643187503,0.0022285266421913203
4,9.0,0.01584949082610156,0.0018212058788796518
5,9.25,0.01349724732489062,0.0016405162652544172
6,9.5,0.01232816190633594,0.0017238540917571335
7,9.75,0.010401670583609378,0.001508251149248607
8,10.0,0.008892753690867186,0.0013391922627489989
9,10.25,0.007944370857539068,0.001281651565678055
10,10.5,0.007226622491703122,0.0012265478131990957
11,10.75,0.006262950816039062,0.001119248177008393
12,11.0,0.005637531902929686,0.0010370432742038277
13,11.25,0.004882776464335938,0.0009521032812215495
14,11.5,0.004413604869968749,0.0008983927349468324
15,11.75,0.003673500688179688,0.0007763343989347952
16,12.0,0.0032696438626171856,0.0007252687326834255
17,12.25,0.002821858237328125,0.0006745680926548459
18,12.5,0.0024820717516406245,0.0006110806472818534
19,12.75,0.0019155611394140626,0.0005129342840341605
20,13.0,0.001812194306382813,0.0004993648386052602
21,13.25,0.001287036805539062,0.000402696319727087
22,13.5,0.0010801316014765626,0.000357216571170369
23,13.75,0.0009141678241875,0.0003131169631350702
24,14.0,0.0007224102088437502,0.00026983076069092717
25,14.25,0.0006032829769218752,0.00023019455761899937
26,14.5,0.000467680081359375,0.00019263743494079075
27,14.75,0.0003545179694453126,0.00015831396420308542
28,15.0,0.0002701589553046875,0.00012727906534581537
